blend_id,blend_materials,blend_grades,blend_ratios,blend_input,thickness,ts,error,temperature,rh
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",20,13.33,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",40,15.24,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",60,16.77,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",80,18.26,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",100,20.83,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",120,26.25,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",140,28.0,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",160,28.97,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",180,29.48,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",200,30.57,,38,90
