blend_id,blend_materials,blend_grades,blend_ratios,blend_input,thickness,ts,error,temperature,rh
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",20,36.2,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",40,41.19,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",60,47.15,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",80,51.47,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",100,62.53,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",120,72.62,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",140,72.71,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",160,82.72,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",180,86.38,,38,90
1,"[np.str_('PHB'), np.str_('PBS')]","['Biocycle 1000', 'BioPBS FZ91']","[0.5000421237689607, 0.49995787623103927]","PHB, Biocycle 1000, 0.5000421237689607, PBS, BioPBS FZ91, 0.49995787623103927",200,90.26,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",20,22.43,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",40,39.64,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",60,49.63,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",80,54.38,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",100,57.34,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",120,63.25,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",140,69.3,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",160,90.72,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",180,92.03,,38,90
2,"[np.str_('PLA'), np.str_('PHB')]","['4032D', 'Biocycle 1000']","[0.043390690251106326, 0.9566093097488936]","PLA, 4032D, 0.043390690251106326, PHB, Biocycle 1000, 0.9566093097488936",200,98.93,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",20,22.4,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",40,52.94,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",60,61.45,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",80,67.09,,38,90
